ID#,Year,Month,Day,Year-Month-Day,School,District,Incident-Type,Incident-Description,Supporting-Materials,School-Response,Media-Coverage,Social-Media-Post,Other-Related,Reported-School,Reported-Police,Source(s),Incident-Notes,Hidden,Created By,Last Modified By,Last Modified
103,2024,07,11,2024 - 07 -  11,Northern Heights Elementary School,Bellingham Public Schools,Graffiti or Vandalism,Graffiti with swastikas and racist slurs targeting Jewish and Black people covered a play area at the school.,,,https://www.bellinghamherald.com/news/local/article289851994.html,,,,,ADL,,,Our Team,Our Team,8/18/2024 1:20pm
109,2024,06,20,2024 - 06 -  20,Chief Kanim Middle School,Snoqualmie Valley School District,Bullying or Harassment,"Following months of teasing and bullying by a group of students, a member of this group verbally harassed a Jewish student saying, ""this is an anti-Jewish zone.""",,,,,,,,ADL,,,Our Team,Our Team,8/26/2024 1:38pm
110,2024,06,12,2024 - 06 -  12,Pacific Cascade Middle School,Issaquah School District,Bullying or Harassment,"A student ""got in the face"" of another student saying ""Free Palestine, Free Hamas, Free Palestine, Free Hamas.""",,,,,,,,ADL,,,Our Team,Our Team,8/26/2024 1:39pm
112,2024,06,05,2024 - 06 -  05,Robert Eaglestaff,Seattle Public Schools,School Curriculum,"Classroom teachers introduced curriculum materials 
including a biased video on the history of the Israel-Palestine conflict sourced from YouTube (https://www.youtube.com/watch?v=iRYZjOuUnlU). ",,,,,,,,Website,,,Josh Herst,Josh Herst,8/22/2024 3:48pm
111,2024,06,04,2024 - 06 -  04,Hilltop Heritage Middle School,Tacoma Public Schools,Bullying or Harassment,A student received an antisemitic text message in a group chat including photos comparing what's happening in Gaza to the Holocaust.,,,,,,,,ADL,,,Our Team,Our Team,8/18/2024 9:26pm
102,2024,06,03,2024 - 06 -  03,Interlake High School,Bellevue School District,Published Materials (Print or Online),"A student in a keffiyeh wore a sweatshirt with “From the river to the sea, Palestine will be free” written in large letters across the back. Note, the Bellevue School District Dress Code states that clothing that implies intimidation or discrimination is prohibited. (https://bsd405.org/wp-content/pdf/policy/3224P.pdf)",,,,,,Yes,,Website,,checked,Our Team,Our Team,6/10/2024 10:33am
94,2024,05,null,2024 - 05 -  null,Chief Sealth,Seattle Public Schools,Published Materials (Print or Online),"A display in a school hallway falsely described a ""genocide"" of Palestinians. The display was put up by a teacher who was put on administrative leave, mid-April, following the teacher's public comments that the Oct. 7 Hamas attack on Israel was justified. The display was taken down by the school, mid-May, after parents reported the the display to the school.",2024May-ChiefSealthHS-HallwayDisplay.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/e5D6BhM-PQq5QzYklSXyYQ/bzmM8X1oOFca1GO6vDI4XN7sUfaKV9UVMnuPQ-aVO4njQd7FgW042tgM_vRAeP5uviD2EgHqvMxwVhIH588W2EbgpdwNz0RPYC3sFHkZM7uqc1TShh-lyNVhAKHdFE4G4XxPxH15pRqZjisEFbcV1ube7wtvB4FITmMAPk_5k-XtEkYZwNS5M3rauN2dn69e/S5xw8WGC-ovdxGP08Shza0l3tZHWAUTW3TAjwsfs_dE),,,,,Yes,,Other,,,Our Team,Our Team,5/24/2024 9:06pm
104,2024,05,null,2024 - 05 -  null,Kellogg Middle School,Shoreline Public Schools,Bullying or Harassment,"Jewish student routinely called a ""kike"" in school hallways.",,,,,,Unknown,,Parent-Reported,Parent email forwarded via another parent,,Our Team,Our Team,8/18/2024 5:57pm
97,2024,05,22,2024 - 05 -  22,Mercer Island High School,Mercer Island School District,Graffiti or Vandalism,Antisemitic graffiti in bathroom.,2024May22-MercerIslandHS-Superintendent-Letter.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/cLWC4Eqvf2cPmxGa1cfhGg/ttmZfKibI9JC6uMKopzserF1zCPWxQtFVWW9NIwZgZOX77BFuFZ8sToTKVHeEz4DpMjC3fSrPvIKdviIuR0M3bi-7jdh8LgARnfKqebEyPproNzQ17L80NyDbezoOvkaXsrS2ljS8Ru6dNA_S52EmRLV9OlPZRGLyQx8Jfj77Behlk0s5K2MXycoIfOAw7I6Su2sbek8mPij6F5Yu6EkXQ/7nJYsk6xl2bcPMxLIoEIJgJlHl6Saqv_gATR5BfcWeg),,,,,Yes,,Other,,,Our Team,Our Team,5/29/2024 4:10pm
93,2024,05,16,2024 - 05 -  16,Finn Hill Middle School,Lake Washington School District,Bullying or Harassment,"A group of students surrounded a Jewish student, calling the Jewish student a ""Dirty Jew"" and ""Kike."" One of the students punched and kicked the Jewish student.",,,,,,,,Website,,,Josh Herst,Josh Herst,5/24/2024 2:27pm
88,2024,05,07,2024 - 05 -  07,Kellogg Middle School,Shoreline Public Schools,Erasure or Silencing,"A Jewish student reported a group of students discussing Judaism and describing it as ""a copy cat religion that copied from Christianity and the Muslim religion with nothing original"" and that was ""only around because of Jesus Christ.""",,,,,,,,Website,,,Josh Herst,Josh Herst,5/21/2024 2:45pm
81,2024,05,06,2024 - 05 -  06,Kellogg Middle School,Shoreline Public Schools,"Published Materials (Print or Online),Erasure or Silencing","In the midst of Jewish American Heritage Month, the school displayed a poster listing Middle East countries where Arabic is spoken. Arabic is spoken in Israel but was not included on the list. The poster was put up in the hallway on or around April 30th, perhaps in association with Arab American Heritage Month.",2024May-Kellogg-Middle-School.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/69Eo2YmkB3p8HUqaZulYew/pWCiVb8Lo6w0NuhxhWum1wxdqdyUVIDIqlzkJw4eMTmWvN41nq5oM40rDDFPBysE78j8TgEbe9EnpB67MUWRfMrhv7oVC5LJvtHvkqIJoe7MonNZskPAbRtRhRNIrk7qK_OcEtgnHdeWIvKz0795T0VGCeh7WLb-6dP8d5geV03t0M4DYA-LYZwfYsba0PQi/i9gf4wFxkWFWa59ycRrCLi9v2swcwakQZZA61jmNJ1U),,,https://twitter.com/thehoffather/status/1787676937378464202,,Yes,,"Parent-Reported,Website",,,Our Team,Our Team,5/16/2024 2:01pm
